,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,release_year,total_gross,profit/loss,roi,release_month,release_string_x,movie_year,movie_title,original_release_date,genres,runtime,tomatometer_rating,audience_rating,directors,content_rating,production_company,release_string_y
283,42,2009-12-25,Sherlock Holmes,90000000.0,209028679.0,498438212.0,2009,707466891.0,617466891.0,686.0743233333334,December,2009-12,Sherlock Holmes (2009-12),Sherlock Holmes,2009-12-25,"Action & Adventure, Drama, Mystery & Suspense",128.0,69.0,77.0,Guy Ritchie,PG-13,Warner Bros. Pictures/Village Roadshow,2009-12
284,43,2009-07-01,Ice Age: Dawn of the Dinosaurs,90000000.0,196573705.0,859701857.0,2009,1056275562.0,966275562.0,1073.6395133333333,July,2009-07,Ice Age: Dawn of the Dinosaurs (Ice Age 3) (2009-07),Ice Age: Dawn of the Dinosaurs (Ice Age 3),2009-07-01,"Action & Adventure, Animation, Comedy, Kids & Family",94.0,46.0,62.0,Unknown,PG,20th Century Fox/Emerging Pictures,2009-07
285,44,2018-12-14,Spider-Man: Into The Spider-Verse 3D,90000000.0,190173195.0,375381768.0,2018,565554963.0,475554963.0,528.3944033333333,December,2018-12,Spider-Man: Into the Spider-Verse (2018-12),Spider-Man: Into the Spider-Verse,2018-12-14,"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy",117.0,97.0,93.0,"Bob Persichetti, Peter Ramsey, Rodney Rothman",PG,Sony Pictures,2018-12
286,46,2011-04-15,Rio,90000000.0,143619809.0,487519809.0,2011,631139618.0,541139618.0,601.2662422222222,April,2011-04,Rio (2011-04),Rio,2011-04-15,"Action & Adventure, Animation, Comedy, Kids & Family",96.0,72.0,71.0,Carlos Saldanha,G,20th Century Fox,2011-04
287,51,2011-12-20,The Girl with the Dragon Tattoo,90000000.0,102515793.0,239373970.0,2011,341889763.0,251889763.0,279.87751444444444,December,2011-12,The Girl with the Dragon Tattoo (2011-12),The Girl with the Dragon Tattoo,2011-12-20,"Drama, Mystery & Suspense",158.0,86.0,86.0,David Fincher,R,Sony Pictures,2011-12
288,55,2016-09-23,The Magnificent Seven,90000000.0,93432655.0,162525156.0,2016,255957811.0,165957811.0,184.3975677777778,September,2016-09,The Magnificent Seven (2016-09),The Magnificent Seven,2016-09-23,"Action & Adventure, Drama, Western",128.0,64.0,72.0,Antoine Fuqua,PG-13,Sony Pictures,2016-09
289,56,2015-12-18,Alvin and the Chipmunks: The Road Chip,90000000.0,85886987.0,249517956.0,2015,335404943.0,245404943.0,272.6721588888889,December,2015-12,Alvin and the Chipmunks: The Road Chip (2015-12),Alvin and the Chipmunks: The Road Chip,2015-12-18,"Animation, Comedy, Kids & Family",86.0,15.0,51.0,Walt Becker,PG,20th Century Fox,2015-12
290,59,2015-07-24,Pixels,90000000.0,78765986.0,244041804.0,2015,322807790.0,232807790.0,258.67532222222223,July,2015-07,Pixels (2015-07),Pixels,2015-07-24,"Animation, Comedy, Drama",106.0,17.0,46.0,Chris Columbus,PG-13,Sony Pictures,2015-07
291,64,2013-08-07,Percy Jackson: Sea of Monsters,90000000.0,68559554.0,200859554.0,2013,269419108.0,179419108.0,199.35456444444443,August,2013-08,Percy Jackson: Sea of Monsters (2013-08),Percy Jackson: Sea of Monsters,2013-08-07,"Action & Adventure, Drama, Science Fiction & Fantasy",106.0,42.0,55.0,Thor Freudenthal,PG,20th Century Fox,2013-08
292,66,2016-06-10,Now You See Me 2,90000000.0,65075540.0,328325007.0,2016,393400547.0,303400547.0,337.1117188888889,June,2016-06,Now You See Me 2 (2016-06),Now You See Me 2,2016-06-10,Mystery & Suspense,129.0,33.0,53.0,Jon M. Chu,PG-13,Lionsgate,2016-06
293,70,2018-03-16,Tomb Raider,90000000.0,58250803.0,273477501.0,2018,331728304.0,241728304.0,268.58700444444446,March,2018-03,Tomb Raider (2018-03),Tomb Raider,2018-03-16,"Action & Adventure, Drama, Science Fiction & Fantasy",118.0,51.0,55.0,Roar Uthaug,PG-13,Warner Bros. Pictures,2018-03
294,76,2011-08-19,Conan the Barbarian,90000000.0,21295021.0,63356133.0,2011,84651154.0,-5348846.0,-5.943162222222222,August,2011-08,Conan the Barbarian (2011-08),Conan the Barbarian,2011-08-19,"Action & Adventure, Science Fiction & Fantasy",113.0,25.0,30.0,Marcus Nispel,R,Lionsgate,2011-08
295,77,2011-10-21,The Three Musketeers,90000000.0,20377913.0,139877913.0,2011,160255826.0,70255826.0,78.06202888888889,October,2011-10,The Three Musketeers (2011-10),The Three Musketeers,2011-10-21,"Action & Adventure, Romance",110.0,26.0,39.0,Paul W.S. Anderson,PG-13,Summit Entertainment,2011-10
296,84,2018-09-14,The Predator,88000000.0,51024708.0,159487563.0,2018,210512271.0,122512271.0,139.21848977272728,September,2018-09,The Predator (2018-09),The Predator,2018-09-14,"Action & Adventure, Horror, Science Fiction & Fantasy",106.0,32.0,33.0,Shane Black,R,20th Century Fox,2018-09
297,93,2009-04-03,Fast & Furious,85000000.0,155064265.0,363064265.0,2009,518128530.0,433128530.0,509.56297647058824,April,2009-04,Fast & Furious (2009-04),Fast & Furious,2009-04-03,"Action & Adventure, Mystery & Suspense",107.0,29.0,67.0,Justin Lin,PG-13,Universal Pictures,2009-04
298,95,2014-03-21,Divergent,85000000.0,150947895.0,276014965.0,2014,426962860.0,341962860.0,402.30924705882353,March,2014-03,Divergent (2014-03),Divergent,2014-03-21,"Action & Adventure, Science Fiction & Fantasy",140.0,41.0,69.0,Neil Burger,PG-13,Lionsgate Films/Summit Entertainment,2014-03
299,96,2012-09-28,Hotel Transylvania,85000000.0,148313048.0,378505812.0,2012,526818860.0,441818860.0,519.7868941176471,September,2012-09,Hotel Transylvania (2012-09),Hotel Transylvania,2012-09-28,"Animation, Comedy, Kids & Family",95.0,45.0,72.0,Genndy Tartakovsky,PG,Sony Pictures,2012-09
300,97,2019-04-05,Shazam!,85000000.0,139606856.0,362899733.0,2019,502506589.0,417506589.0,491.1842223529412,April,2019-04,Shazam! (2019-04),Shazam!,2019-04-05,"Action & Adventure, Science Fiction & Fantasy",132.0,90.0,82.0,David F. Sandberg,PG-13,New Line Cinema,2019-04
301,99,2012-02-10,Safe House,85000000.0,126181630.0,208542162.0,2012,334723792.0,249723792.0,293.7926964705882,February,2012-02,Safe House (2012-02),Safe House,2012-02-10,"Action & Adventure, Mystery & Suspense",115.0,53.0,63.0,Daniel Espinosa,R,Universal Pictures,2012-02
302,2,2009-12-25,It's Complicated,85000000.0,112735375.0,224614744.0,2009,337350119.0,252350119.0,296.88249294117645,December,2009-12,It's Complicated (2009-12),It's Complicated,2009-12-25,"Comedy, Romance",120.0,58.0,60.0,Nancy Meyers,R,Universal Pictures,2009-12
303,5,2011-11-04,Tower Heist,85000000.0,78046570.0,150422946.0,2011,228469516.0,143469516.0,168.78766588235294,November,2011-11,Tower Heist (2011-11),Tower Heist,2011-11-04,"Action & Adventure, Comedy, Drama",105.0,67.0,48.0,Brett Ratner,PG-13,Universal Pictures,2011-11
304,7,2012-03-30,Mirror Mirror,85000000.0,64935167.0,173613482.0,2012,238548649.0,153548649.0,180.6454694117647,March,2012-03,Mirror Mirror (2012-03),Mirror Mirror,2012-03-30,Science Fiction & Fantasy,106.0,50.0,45.0,Tarsem Singh,PG,Relativity Media,2012-03
305,14,2011-11-23,Arthur Christmas,85000000.0,46462469.0,149717124.0,2011,196179593.0,111179593.0,130.7995211764706,November,2011-11,Arthur Christmas (2011-11),Arthur Christmas,2011-11-23,"Animation, Comedy, Kids & Family",,92.0,76.0,"Sarah Smith, Barry Cook",PG,Sony Pictures,2011-11
306,15,2017-01-20,xXx: Return of Xander Cage,85000000.0,44898413.0,345033359.0,2017,389931772.0,304931772.0,358.7432611764706,January,2017-01,xXx: Return of Xander Cage (2017-01),xXx: Return of Xander Cage,2017-01-20,"Action & Adventure, Drama",102.0,45.0,37.0,D.J. Caruso,PG-13,Paramount Pictures,2017-01
307,17,2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,85000000.0,43585753.0,113026383.0,2010,156612136.0,71612136.0,84.24957176470588,July,2010-07,Cats & Dogs: The Revenge of Kitty Galore (2010-07),Cats & Dogs: The Revenge of Kitty Galore,2010-07-30,"Action & Adventure, Comedy, Kids & Family",82.0,13.0,38.0,Brad Peyton,PG,Warner Bros. Pictures,2010-07
308,22,2010-08-13,Scott Pilgrim vs. The World,85000000.0,31611316.0,48056764.0,2010,79668080.0,-5331920.0,-6.272847058823529,August,2010-08,Scott Pilgrim vs. the World (2010-08),Scott Pilgrim vs. the World,2010-08-13,"Action & Adventure, Comedy, Romance",112.0,82.0,84.0,Edgar Wright,PG-13,Universal Pictures,2010-08
309,25,2017-12-20,The Greatest Showman,84000000.0,174340174.0,386665550.0,2017,561005724.0,477005724.0,567.8639571428572,December,2017-12,The Greatest Showman (2017-12),The Greatest Showman,2017-12-20,"Drama, Musical & Performing Arts",105.0,56.0,86.0,Unknown,PG,20th Century Fox,2017-12
310,28,2013-07-19,RED 2,84000000.0,53262560.0,141507355.0,2013,194769915.0,110769915.0,131.86894642857143,July,2013-07,Red 2 (2013-07),Red 2,2013-07-19,"Action & Adventure, Drama",116.0,44.0,63.0,Dean Parisot,PG-13,Lionsgate Films,2013-07
311,34,2010-08-13,The Expendables,82000000.0,103068524.0,268268174.0,2010,371336698.0,289336698.0,352.8496317073171,August,2010-08,The Expendables (2010-08),The Expendables,2010-08-13,"Action & Adventure, Mystery & Suspense",103.0,42.0,64.0,Sylvester Stallone,R,Lionsgate Films,2010-08
312,38,2012-03-23,The Hunger Games,80000000.0,408010692.0,677923379.0,2012,1085934071.0,1005934071.0,1257.4175887499998,March,2012-03,The Hunger Games (2012-03),The Hunger Games,2012-03-23,"Drama, Mystery & Suspense, Science Fiction & Fantasy",142.0,84.0,81.0,Gary Ross,PG-13,Lionsgate,2012-03
313,39,2011-05-26,The Hangover Part II,80000000.0,254464305.0,586464305.0,2011,840928610.0,760928610.0,951.1607625,May,2011-05,The Hangover Part II (2011-05),The Hangover Part II,2011-05-26,Comedy,102.0,33.0,52.0,Todd Phillips,R,Warner Bros. Pictures,2011-05
314,41,2017-02-10,The Lego Batman Movie,80000000.0,175750384.0,310660018.0,2017,486410402.0,406410402.0,508.01300249999997,February,2017-02,The Lego Batman Movie (2017-02),The Lego Batman Movie,2017-02-10,"Action & Adventure, Animation, Comedy, Kids & Family",106.0,90.0,80.0,Chris McKay,PG,Warner Bros. Pictures,2017-02
315,42,2015-09-25,Hotel Transylvania 2,80000000.0,169700110.0,469500298.0,2015,639200408.0,559200408.0,699.0005100000001,September,2015-09,Hotel Transylvania 2 (2015-09),Hotel Transylvania 2,2015-09-25,Animation,89.0,56.0,64.0,Genndy Tartakovsky,PG,Sony Pictures,2015-09
316,48,2013-07-12,Grown Ups 2,80000000.0,133668525.0,247023808.0,2013,380692333.0,300692333.0,375.86541625,July,2013-07,Grown Ups 2 (2013-07),Grown Ups 2,2013-07-12,Comedy,100.0,8.0,53.0,Dennis Dugan,PG-13,Sony Pictures,2013-07
317,49,2011-12-16,Alvin and the Chipmunks: Chipwrecked,80000000.0,133107389.0,349088523.0,2011,482195912.0,402195912.0,502.74489000000005,December,2011-12,Alvin and the Chipmunks: Chipwrecked (2011-12),Alvin and the Chipmunks: Chipwrecked,2011-12-16,"Animation, Comedy, Kids & Family",87.0,12.0,51.0,Mike Mitchell,G,20th Century Fox,2011-12
318,52,2010-02-19,Shutter Island,80000000.0,128012934.0,299461782.0,2010,427474716.0,347474716.0,434.343395,February,2010-02,Shutter Island (2010-02),Shutter Island,2010-02-19,"Action & Adventure, Drama, Mystery & Suspense",138.0,68.0,76.0,Martin Scorsese,R,Paramount Studios,2010-02
319,58,2011-02-11,Just Go With It,80000000.0,103028109.0,214974953.0,2011,318003062.0,238003062.0,297.5038275,February,2011-02,Just Go with It (2011-02),Just Go with It,2011-02-11,"Comedy, Romance",115.0,19.0,59.0,Dennis Dugan,PG-13,Sony Pictures,2011-02
320,62,2010-12-17,Yogi Bear,80000000.0,100246011.0,204774690.0,2010,305020701.0,225020701.0,281.27587625,December,2010-12,Yogi Bear (2010-12),Yogi Bear,2010-12-17,"Action & Adventure, Animation, Comedy, Kids & Family",80.0,13.0,34.0,Eric Brevig,PG,Warner Bros. Pictures,2010-12
321,64,2010-01-15,The Book of Eli,80000000.0,94835059.0,158750817.0,2010,253585876.0,173585876.0,216.982345,January,2010-01,The Book of Eli (2010-01),The Book of Eli,2010-01-15,Action & Adventure,112.0,47.0,64.0,"Albert Hughes, Allen Hughes",R,Warner Bros. Pictures,2010-01
322,68,2014-10-17,Fury,80000000.0,85817906.0,210315681.0,2014,296133587.0,216133587.0,270.16698375,October,2014-10,Fury (2014-10),Fury,2014-10-17,"Action & Adventure, Drama",134.0,76.0,84.0,David Ayer,R,Sony Pictures,2014-10
323,69,2018-09-28,Smallfoot,80000000.0,83240103.0,213691277.0,2018,296931380.0,216931380.0,271.164225,September,2018-09,Smallfoot (2018-09),Smallfoot,2018-09-28,"Action & Adventure, Animation, Comedy, Kids & Family",96.0,75.0,62.0,Karey Kirkpatrick,PG,Warner Bros. Pictures,2018-09
324,71,2011-07-08,Zookeeper,80000000.0,80360866.0,170805525.0,2011,251166391.0,171166391.0,213.95798875,July,2011-07,Zookeeper (2011-07),Zookeeper,2011-07-08,"Comedy, Romance",101.0,14.0,41.0,"Frank Coraci, Walt Becker",PG,Columbia Pictures,2011-07
325,81,2019-06-07,The Secret Life of Pets 2,80000000.0,63795655.0,113351496.0,2019,177147151.0,97147151.0,121.43393875,June,2019-06,The Secret Life of Pets 2 (2019-06),The Secret Life of Pets 2,2019-06-07,"Animation, Comedy",86.0,60.0,90.0,"Chris Renaud, Jonathan Del Val",PG,Universal Pictures,2019-06
326,88,2009-09-25,Surrogates,80000000.0,38577772.0,119668350.0,2009,158246122.0,78246122.0,97.8076525,September,2009-09,Surrogates (2009-09),Surrogates,2009-09-25,"Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy",88.0,37.0,38.0,Jonathan Mostow,PG-13,Touchstone Pictures,2009-09
327,93,2013-12-20,Walking with Dinosaurs,80000000.0,36076121.0,123368842.0,2013,159444963.0,79444963.0,99.30620375,December,2013-12,Walking With Dinosaurs (2013-12),Walking With Dinosaurs,2013-12-20,"Documentary, Kids & Family",87.0,23.0,41.0,"Neil Nightingale, Pierre De Lespinios, Barry Cook",PG,20th Century Fox,2013-12
328,96,2015-10-23,The Last Witch Hunter,80000000.0,27367660.0,130818912.0,2015,158186572.0,78186572.0,97.733215,October,2015-10,The Last Witch Hunter (2015-10),The Last Witch Hunter,2015-10-23,"Action & Adventure, Science Fiction & Fantasy",106.0,18.0,43.0,Unknown,PG-13,Summit Entertainment.,2015-10
329,97,2014-02-21,Pompeii,80000000.0,23169033.0,108469033.0,2014,131638066.0,51638066.0,64.5475825,February,2014-02,Pompeii (2014-02),Pompeii,2014-02-21,"Action & Adventure, Drama, Mystery & Suspense",105.0,28.0,34.0,Paul W.S. Anderson,PG-13,Sony Pictures,2014-02
330,100,2009-12-18,Nine,80000000.0,19676965.0,53508858.0,2009,73185823.0,-6814177.0,-8.517721250000001,December,2009-12,Nine (2009-12),Nine,2009-12-25,"Drama, Musical & Performing Arts, Romance",118.0,39.0,37.0,Rob Marshall,PG-13,The Weinstein Co.,2009-12
332,10,2012-02-10,Journey 2: The Mysterious Island,79000000.0,103860290.0,318146162.0,2012,422006452.0,343006452.0,434.18538227848103,February,2012-02,Journey 2: The Mysterious Island (2012-02),Journey 2: The Mysterious Island,2012-02-10,"Action & Adventure, Kids & Family, Science Fiction & Fantasy",94.0,45.0,59.0,Brad Peyton,PG,New Line Cinema,2012-02
333,11,2011-11-11,Jack and Jill,79000000.0,74158157.0,150519217.0,2011,224677374.0,145677374.0,184.40173924050634,November,2011-11,Jack and Jill (2011-11),Jack and Jill,2011-11-11,"Comedy, Romance",90.0,3.0,36.0,Dennis Dugan,PG,Sony Pictures,2011-11
334,13,2013-09-27,Cloudy with a Chance of Meatballs 2,78000000.0,119793567.0,274392649.0,2013,394186216.0,316186216.0,405.3669435897436,September,2013-09,Cloudy with a Chance of Meatballs 2 (2013-09),Cloudy with a Chance of Meatballs 2,2013-09-27,"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy",95.0,70.0,66.0,"Kris Pearn, Cody Cameron",PG,Sony Pictures,2013-09
337,21,2018-07-20,The Equalizer 2,77000000.0,102084362.0,190453132.0,2018,292537494.0,215537494.0,279.9188233766234,July,2018-07,Equalizer 2 (2018-07),Equalizer 2,2018-07-20,"Action & Adventure, Mystery & Suspense",121.0,52.0,61.0,Antoine Fuqua,R,Columbia Pictures,2018-07
338,22,2013-07-03,Despicable Me 2,76000000.0,368065385.0,975216835.0,2013,1343282220.0,1267282220.0,1667.4766052631578,July,2013-07,Despicable Me 2 (2013-07),Despicable Me 2,2013-07-03,"Animation, Comedy, Kids & Family",98.0,75.0,85.0,"Pierre Coffin, Chris Renaud",PG,Universal Pictures,2013-07
339,26,2016-07-08,The Secret Life of Pets,75000000.0,368384330.0,886750534.0,2016,1255134864.0,1180134864.0,1573.513152,July,2016-07,The Secret Life of Pets (2016-07),The Secret Life of Pets,2016-07-08,"Animation, Comedy",91.0,73.0,62.0,"Yarrow Cheney, Chris Renaud",PG,Universal Pictures,2016-07
341,29,2016-12-21,Sing,75000000.0,270329045.0,634454789.0,2016,904783834.0,829783834.0,1106.3784453333333,December,2016-12,Sing (2016-12),Sing,2016-12-21,"Animation, Comedy, Musical & Performing Arts",108.0,72.0,72.0,"Garth Jennings, Christophe Lourdelet",PG,Illumination Entertainment,2016-12
342,30,2017-06-30,Despicable Me 3,75000000.0,264624300.0,1034727750.0,2017,1299352050.0,1224352050.0,1632.4694000000002,June,2017-06,Despicable Me 3 (2017-06),Despicable Me 3,2017-06-30,"Animation, Comedy, Kids & Family",90.0,58.0,53.0,"Kyle Balda, Pierre Coffin, Eric Guillon",PG,Universal Pictures,2017-06
343,34,2010-06-25,Grown Ups,75000000.0,162001186.0,272223430.0,2010,434224616.0,359224616.0,478.9661546666666,June,2010-06,Grown Ups (2010-06),Grown Ups,2010-06-25,Comedy,102.0,11.0,62.0,Dennis Dugan,PG-13,Sony Pictures,2010-06
344,41,2013-05-31,Now You See Me,75000000.0,117723989.0,342769200.0,2013,460493189.0,385493189.0,513.9909186666666,May,2013-05,Now You See Me (2013-05),Now You See Me,2013-05-31,Mystery & Suspense,116.0,51.0,70.0,Louis Leterrier,PG-13,Lionsgate Films,2013-05
345,43,2018-08-03,Christopher Robin,75000000.0,99215042.0,197504758.0,2018,296719800.0,221719800.0,295.6264,August,2018-08,Christopher Robin (2018-08),Christopher Robin,2018-08-03,"Action & Adventure, Comedy, Kids & Family",104.0,73.0,83.0,Marc Forster,PG,Walt Disney Pictures,2018-08
346,45,2011-11-11,Immortals,75000000.0,83504017.0,211562435.0,2011,295066452.0,220066452.0,293.421936,November,2011-11,Immortals (2011-11),Immortals,2011-11-11,"Action & Adventure, Classics",110.0,46.0,48.0,Tarsem Singh,R,Relativity Media,2011-11
347,54,2010-06-04,Killers,75000000.0,47059963.0,95572749.0,2010,142632712.0,67632712.0,90.17694933333334,June,2010-06,Killers (2010-06),Killers,2010-06-04,"Action & Adventure, Comedy, Romance",100.0,10.0,41.0,Robert Luketic,PG-13,Lionsgate Films,2010-06
348,55,2015-08-14,The Man From U.N.C.L.E.,75000000.0,45445109.0,104949584.0,2015,150394693.0,75394693.0,100.52625733333333,August,2015-08,The Man From U.N.C.L.E. (2015-08),The Man From U.N.C.L.E.,2015-08-14,"Action & Adventure, Comedy, Mystery & Suspense",116.0,67.0,73.0,Guy Ritchie,PG-13,Warner Bros. Pictures,2015-08
349,62,2011-03-25,Sucker Punch,75000000.0,36392502.0,89758389.0,2011,126150891.0,51150891.0,68.201188,March,2011-03,Sucker Punch (2011-03),Sucker Punch,2011-03-25,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",110.0,22.0,47.0,Zack Snyder,PG-13,IMAX,2011-03
350,64,2016-10-28,Inferno,75000000.0,34343574.0,219519367.0,2016,253862941.0,178862941.0,238.4839213333333,October,2016-10,Inferno (2016-10),Inferno,2016-10-28,"Action & Adventure, Drama, Mystery & Suspense",116.0,23.0,36.0,Ron Howard,PG-13,Sony Pictures,2016-10
351,73,2015-07-10,Minions,74000000.0,336045770.0,1160336173.0,2015,1496381943.0,1422381943.0,1922.1377608108107,July,2015-07,Minions (2015-07),Minions,2015-07-10,"Animation, Comedy, Kids & Family",91.0,55.0,49.0,"Pierre Coffin, Kyle Balda",PG,Universal Pictures,2015-07
